name,rtg,oil_water,fish_type,country,brand,salt,sugar,sauce,boneless,skinless,pieces,size_g,size_oz,smoked,grilled,citrus,garlic,chili_pepper,tomato,dairy,gluten,organic,kosher_cert,servings,sodium_per_serving,rda_sodium
Real Conservera Selección 1920 Mussels in Escabeche 9/12,19,Olive Oil,mussels,Spain,Real Conservera,No,No,Escabeche,,,6/12,112,4.0,No,No,No,No,No,No,No,No,No,None,?,1100,?
Real Conservera Selección 1920 Razor Clams in Brine,26,Brine,razor clam,Spain,Real Conservera,Yes,No,"lemon, bay leaf, onion",,,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,
Real Conservera Selección 1920 Sardines in Olive Oil,8.75,Olive OIl,sardines,Spain,Real Conservera,Yes,No,None,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,1,,
Real Conservera Selección 1920 Small Sardines (Sardinillas) in Olive Oil,11,Olive Oil,sardines,Spain,Real Conservera,Yes,No,None,No,No,Unstated,112,4.0,No,No,No,No,No,No,No,No,No,None,1,,
Real Conservera Selección 1920 Small Sardines (Sardinillas) in Olive Oil 12/16,13.5,Olive Oil,sardines,Spain,Real Conservera,Yes,No,None,No,No,12/16,120,4.2,No,No,No,No,No,No,No,No,No,None,1,,
Real Conservera Selección 1920 Small Sardines (Sardinillas) in Spicy Olive Oil,12.5,Olive Oil,sardines,Spain,Real Conservera,Yes,No,hot pepper,No,No,Unstated,112,3.95,No,No,No,No,Yes,No,No,No,No,None,,,
Real Conservera Selección 1920 Ventresca de Atún Claro (Yellowfin Belly) in Olive Oil,15,Olive Oil,tuna,Spain,Real Conservera,Yes,No,None,Yes,Yes,Unstated,115,4.06,No,No,No,No,No,No,No,No,No,None,1,,
Real Conservera Small Sardines (Sardinillas) in Olive Oil (Limited Edition),28,Olive Oil,sardines,Spain,Real Conservera,Yes,No,None,No,No,18/22,112,3.95,No,No,No,No,No,No,No,No,No,None,?,1500,?
Real Conservera Small Sardines (Sardinillas) in Olive Oil 10/14,24,Olive OIl,sardines,Spain,Real Conservera,Yes,No,None,No,No,10/14,112,3.95,No,No,No,No,No,No,No,No,No,None,?,1500,?
Real Conservera Small Sardines (Sardinillas) in Spicy Olive Oil 10/14,24,Olive Oil,sardines,Spain,Real Conservera,Yes,No,Spiced/Spicy,No,No,10/14,112,3.95,No,No,No,No,Yes,No,No,No,No,None,?,1500,?
Real Conservera Small Whole Mackerel (Caballitas) in Olive Oil,23,Olive Oil,mackerel,Spain,Real Conservera,Yes,No,None,No,No,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,?,< 1g,?
Real Conservera Spicy Hake Roe Medallions in Olive Oil,28,Olive Oil,hake,Spain,Real Conservera,Yes,No,Spiced/Spicy,,,Unstated,130,4.6,No,No,No,No,Yes,No,No,No,No,None,?,< 1g,?
Real Conservera Spicy Hake Roe Pâté,25,Olive Oil,hake,Spain,Real Conservera,Yes,No,Spicy Olive Oil,,,Unstated,140,4.93,No,No,No,Yes,Yes,No,No,No,No,None,1,,
Real Conservera Stuffed Squid in Ink,51,Olive Oil,squid,Spain,Real Conservera,Yes,No,"onion, pepper, tomato, wine (sulfites), salt, cephalopod ink, rice flour, paprika, and spicy paprika.",,,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,?,,
Real Conservera Stuffed Squid in Olive Oil,45,Olive Oil,squid,Spain,Real Conservera,Yes,No,None,,,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,?,< 1g,?
Real Conservera Variegated Scallop (Zamburiñas) in Natural Broth,58,Water,scallops,Spain,Real Conservera,Yes,No,"Onion, Lemon, Bay",,,Unstated,130,4.6,No,No,Yes,No,No,No,No,No,No,None,?,< 1g,?
Real Conservera Ventresca of Yellowfin Tuna,20,Olive Oil,tuna,Spain,Real Conservera,Yes,No,None,,,Unstated,112,3.95,No,No,No,No,No,No,No,No,No,None,1,,
Riga Gold Cod Liver,4.5,None,cod,Latvia,Riga Gold,?,?,?,,,,120,4.2,No,No,No,No,No,No,No,No,No,None,?,?,?
"Riga Gold Smoked Sprats in Oil 10/12, 160g",3.5,Rapeseed Oil,sprats,Latvia,Riga Gold,Yes,No,None,No,No,Unstated,160,5.64,Yes,No,No,No,No,No,No,No,No,OU,2,320,14
"Riga Gold Smoked Sprats in Oil 9/11, 240g",4.5,Rapeseed Oil,sprats,Latvia,Riga Gold,Yes,No,None,No,No,Unstated,240,8.47,Yes,No,No,No,No,No,No,No,No,OU,3,320,14
Rizzoli Anchovy Fillets in Extra Virgin Olive Oil,10.5,Extra Virgin Olive Oil,anchovy,Italy,Rizzoli,Yes,No,None,Yes,Yes,Unstated,90,3.17,No,No,No,No,No,No,No,No,No,None,3,852,37
Rizzoli Anchovy Fillets in Spicy Sauce,9.5,Extra Virgin Olive Oil,anchovy,Italy,Rizzoli,Yes,Yes,"Mustard, spices, tuna, vinegar",Yes,Yes,Unstated,90,3.17,No,No,No,No,No,No,No,No,No,None,6,480,21
Rizzoli Anchovy Paste,5,Olive Oil,anchovy,Italy,Rizzoli,Yes,No,None,Yes,Yes,,60,2.12,No,No,No,No,No,No,No,No,No,None,4,1040,45
Rügen Fisch Herring Fillets in Dill-Herb Sauce,4,Canola Oil,herring,Germany,Rügen Fisch,Yes,Yes,Dill Cream,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,No,Yes,No,No,None,2,400,17
Rügen Fisch Herring Fillets in Horseradish Sauce,4,Rapeseed Oil,herring,Germany,Rügen Fisch,Yes,Yes,Horseradish,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,No,Yes,No,No,None,2,300,13
Rügen Fisch Herring Fillets in Hot Tomato Sauce,4,Rapeseed Oil,herring,Germany,Rügen Fisch,Yes,Yes,Tomato,Yes,No,Unstated,200,7.05,No,No,No,No,Yes,Yes,No,No,No,None,2,290,13
Rügen Fisch Herring Fillets in Mushroom Sauce,4,Rapeseed Oil,herring,Germany,Rügen Fisch,Yes,Yes,Mushroom,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,No,Yes,Yes,No,None,2,380,17
Rügen Fisch Herring Fillets in Mustard Sauce,4,Rapeseed Oil,herring,Germany,Rügen Fisch,Yes,Yes,Mustard,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,No,No,No,No,None,2,520,23
Rügen Fisch Herring Fillets in Paprika Sauce,4,Rapeseed Oil,herring,Germany,Rügen Fisch,Yes,Yes,Tomato,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,Yes,Yes,Yes,No,None,2,400,17
Rügen Fisch Herring Fillets in Tomato Sauce,4,Rapeseed Oil,herring,Germany,Rügen Fisch,Yes,Yes,Tomato,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,Yes,No,No,No,None,2,290,13
Rügen Fisch Herring Fillets in White Wine Sauce,4,Rapeseed Oil,herring,Germany,Rügen Fisch,Yes,Yes,White Wine,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,No,Yes,Yes,No,None,2,400,17
Rügen Fisch Kipper Snacks,4,Water,herring,Germany,Rügen Fisch,Yes,Yes,None,Yes,,,100,3.53,Yes,No,No,No,No,No,No,No,No,None,1,210,9
Rügen Fisch Mackerel Fillets in Tomato Sauce,5,Rapeseed Oil,mackerel,Germany,Rügen Fisch,Yes,Yes,Tomato,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,Yes,No,No,No,None,2,220,10
Rügen Fisch Salmon Fillets (Skinless and Boneless) in Water,6.5,Water,salmon,Germany,Rügen Fisch,Yes,No,None,Yes,Yes,Unstated,175,6.17,No,No,No,No,No,No,Possible Traces,Possible Traces,No,None,2,400,25
Rügen Fisch Smoked Herring Fillets in Canola Oil and Own Juice,4.5,Rapeseed Oil,herring,Germany,Rügen Fisch,Yes,No,None,Yes,No,Unstated,190,6.7,Yes,No,No,No,No,No,No,No,No,None,2,170,7
"Rügen Fisch Smoked Herring Fillets with Pepper, in Brine and Own Juice",4.5,Water,herring,Germany,Rügen Fisch,Yes,Yes,Pepper,Yes,No,Unstated,200,7.05,Yes,No,No,No,No,No,No,No,No,None,2,180,8
Rügen Fisch Smoked Kieler Sprats,4,Rapeseed Oil,sprats,Germany,Rügen Fisch,Yes,No,None,No,No,Unstated,110,3.88,Yes,No,No,No,No,No,No,No,No,None,1,230,10
Santa Catarina Tuna Fillets in Mediterranean Sauce,11,None,tuna,Portugal,Santa Catarina,Yes,No,Mediterreanean,,,4,120,4.2,No,No,No,Yes,Yes,Yes,No,No,No,None,2,270,11
Santa Catarina Tuna Fillets in Olive Oil and Azorean Pepper,11,Olive Oil,tuna,Portugal,Santa Catarina,Yes,No,Azorean Pepper,,,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11
Santa Catarina Tuna Fillets in Olive Oil and Basil,11,Olive Oil,tuna,Portugal,Santa Catarina,Yes,No,Basil,,,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11
Santa Catarina Tuna Fillets in Olive Oil and Curry,11,Olive Oil,tuna,Portugal,Santa Catarina,Yes,No,Curry,,,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11
Santa Catarina Tuna Fillets in Olive Oil and Fennel,11,Olive Oil,tuna,Portugal,Santa Catarina,Yes,No,Fennel Seeds,,,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11
Santa Catarina Tuna Fillets in Olive Oil and Oregano,11,Olive Oil,tuna,Portugal,Santa Catarina,Yes,No,Oregano,,,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11
Santa Catarina Tuna Fillets in Olive Oil and Rosemary,11,Olive Oil,tuna,Portugal,Santa Catarina,Yes,No,Rosemary,,,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11
Santa Catarina Tuna Fillets in Olive Oil and Thyme,11,Olive Oil,tuna,Portugal,Santa Catarina,Yes,No,Thyme,,,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11
Santa Catarina Tuna Fillets in Organic Olive Oil,12,"Olive Oil, Organic",tuna,Portugal,Santa Catarina,Yes,No,None,,,4,120,4.2,No,No,No,No,No,No,No,No,Yes,None,2,270,11
Santa Catarina Tuna Fillets with Molho Cru,18,Olive Oil,tuna,Portugal,Santa Catarina,Yes,No,"onion, red bell pepper, olive oil, chili pepper paste (chilli pepper, salt, preservative benzoic acid), vinegar (white wine vinegar, water, preservative sulfur dioxide – contains SULPHITES), garlic, paprika, parsley, and salt",,,Unstated,120,4.2,No,No,No,Yes,Yes,No,No,No,No,None,2,270,11
Sardinha Lightly Smoked Sardines in Olive Oil,9,Olive Oil,sardines,Portugal,Sardinha,Yes,No,None,No,No,Unstated,120,4.2,Yes,No,No,No,No,No,No,No,No,None,,,
Sardinha Lightly Smoked Skinless and Boneless Sardines in Olive Oil,11.5,Olive Oil,sardines,Portugal,Sardinha,Yes,No,None,Yes,Yes,Unstated,120,4.2,Yes,No,No,No,No,No,No,No,No,None,,,
Sardinha Sardines in Spicy Tomato Sauce with Olive Oil,8,Olive Oil,sardines,Portugal,Sardinha,Yes,No,Spicy Tomato,No,No,Unstated,120,4.2,No,No,No,No,Yes,Yes,No,No,No,None,,,
Sardinha Sardines in Olive Oil with Truffle Flavor,8,Olive Oil,sardines,Portugal,Sardinha,Yes,No,Truffle Flavor,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,
Sardinha Sardines in Escabeche,8,Sunflower Oil,sardines,Portugal,Sardinha,Yes,No,Escabeche,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,
Sardinha Sardines in Olive Oil,8,Olive Oli,sardines,Portugal,Sardinha,Yes,No,None,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,
Sardinha Sardines in Olive Oil with Curry,8,Olive Oil,sardines,Portugal,Sardinha,Yes,No,Curry,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,
Sardinha Sardines in Olive Oil with Lemon,8,Olive Oil,sardines,Portugal,Sardinha,Yes,No,Lemon,No,No,Unstated,120,4.2,No,No,Yes,No,No,No,No,No,No,None,,,
Sardinha Sardines in Olive Oil with Oregano,8,Olive Oil,sardines,Portugal,Sardinha,Yes,No,Oregano,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,
Sardinha Sardines in Olive Oil with Red Bell Pepper,8,Olive Oil,sardines,Portugal,Sardinha,Yes,No,Bell Pepper,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,
Sardinha Sardines in Spicy Olive Oil with Pickles,8,Olive Oil,sardines,Portugal,Sardinha,Yes,No,Pickles,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,
Sardinha Sardines in Tomato Sauce with Olive Oil,8,Olive Oil,sardines,Portugal,Sardinha,Yes,No,Tomato,No,No,Unstated,120,4.2,No,No,No,No,No,Yes,No,No,No,None,,,
Sardinha Skinless and Boneless Sardines in Olive Oil,11.5,Olive Oil,sardines,Portugal,Sardinha,Yes,No,None,Yes,Yes,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,
Sardinha Skinless and Boneless Sardines in Spicy Olive Oil,11.5,Olive Oil,sardines,Portugal,Sardinha,Yes,No,Chili pepper,Yes,Yes,Unstated,120,4.2,No,No,No,No,Yes,No,No,No,No,None,,,
Sardinha Skinless and Boneless Sardines in Tomato Sauce with Olive Oil,11.5,Olive Oil,sardines,Portugal,Sardinha,Yes,No,Tomato,Yes,Yes,Unstated,120,4.2,No,No,No,No,No,Yes,No,No,No,None,,,
Sardinha Small Sardines in Olive Oil,8,Olive Oil,sardines,Portugal,Sardinha,Yes,No,None,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,
Sempio Braised Anchovies in Soy Sauce,6,Corn Oil,anchovy,Korea,Sempio,Yes,Yes,"Almond, spices",,,Unstated,50,1.76,No,No,No,No,No,No,No,No,No,None,1,1,400
Sempio Braised Anchovies with Hot Pepper Paste (Gochujang),6,Corn Oil,anchovy,Korea,Sempio,Yes,Yes,"Gochujang, spices, almonds, pumpkin seed",,,Unstated,50,1.76,No,No,No,?,Yes,No,Yes,Yes,No,None,1,750,33
Sempio Braised Dried Pollock in Spicy Sauce (Gochujang),6,Corn Oil,pollock,Korea,Sempio,Yes,Yes,Gochujang,,,Unstated,50,1.76,No,No,No,No,Yes,No,?,?,No,None,1,690,30
Stabburet Stabbur-Makrell (Mackerel Fillet) in Tomato Sauce,11.5,Canola Oil,mackerel,Norway,Stabbuet,Yes,Yes,Tomato,,,Unstated,170,,No,No,No,No,No,Yes,No,No,No,None,1,?,?
Sunnmöre Fish Balls in Brine (Fiskeboller i kraft),14.5,Brine,smelt,Norway,Sunnmore,Yes,No,None,,,Unstated,800,,No,No,No,No,No,No,Yes,No,No,None,4,525,22
Sunnmöre Mackerel Fillets in Tomato Sauce,7,Rapeseed Oil,mackerel,Norway,Sunnmore,Yes,Yes,Tomato,,,Unstated,170,,No,No,No,No,No,Yes,No,No,No,None,1,?,?
Sunnmöre Peppered Mackerel (Peppermakrell),7,Rapeseed Oil,mackerel,Norway,Sunnmore,Yes,No,Pepper,,,Unstated,170,,No,No,No,No,No,No,No,No,No,None,1,?,?
Tiny Fish Co. Octopus with Lemon and Dill,17,"Sunflower Oil, Butter",octopus,USA,Tiny Fish Co.,Yes,No,"Lemon, Dill",,,Unstated,99,,No,No,Yes,No,No,No,Yes,No,No,None,2,618,27
"Tiny Fish Co. Black Cod in Soy Sauce (actually, it’s Tamari)",17,Tamari,cod,USA,Tiny Fish Co.,Yes,Yes,Tamari,Yes,Yes,Unstated,99,,No,No,No,No,No,No,No,No,No,None,2,1371,60
Tiny Fish Co. Smoked Geoduck with Black Pepper,21,None,geoduck clam,USA,Tiny Fish Co.,Yes,Yes,Black Pepper,,,Unstated,99,,Yes,No,No,No,No,No,No,No,No,None,2,618,27
Tiny Fish Co. Smoked Mussels en Escabeche,17,Extra Virgin Olive Oil,mussels,USA,Tiny Fish Co.,Yes,No,Escabeche,,,Unstated,133,,Yes,No,No,No,No,No,No,No,No,None,2,618,27
Trata Anchovies in Olive Oil,5,Olive Oil,anchovy,Greece,Trata,Yes,No,None,No,No,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,Yes,7,80,4
Trata Sardines in Olive Oil,5,Olive Oil,sardines,Greece,Trata,Yes,No,None,No,No,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,Yes,1,510,22
Trata Smoked Herring Fillet in Soybean Oil,6,Soybean Oil,herring,Greece,Trata,Yes,No,None,,No,Unstated,160,5.6,Yes,No,No,No,No,No,No,No,No,None,1,380,17
Wildfish Cannery Classic Coho Salmon,13,None,salmon,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,Unstated,170,,No,No,No,Yes,No,No,No,No,No,None,3,310,13
Wildfish Cannery Smoked Coho Salmon,17,None,salmon,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,,170,,Yes,No,No,No,No,No,No,No,No,None,3,350,14
Wildfish Cannery Smoked Geoduck,31.5,None,geoduck clam,USA,Wildfish Cannery,Yes,No,None,,,Unstated,170,,Yes,No,No,No,No,No,No,No,No,None,3,350,15
Wildfish Cannery Smoked Herring,12,None,herring,USA,Wildfish Cannery,Yes,Yes,None,No,No,Unstated,170,,Yes,No,No,No,No,No,No,No,No,None,3.5,189,8
Wildfish Cannery Smoked King Salmon,19.5,None,salmon,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,,170,,Yes,No,No,No,No,No,No,No,No,None,3,360,15
Wildfish Cannery Smoked Octopus,26.5,None,octopus,USA,Wildfish Cannery,Yes,Yes,None,,,Unstated,170,,Yes,No,No,No,No,No,No,No,No,None,3,160,7
Wildfish Cannery Smoked Pink Salmon,14.5,None,salmon,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,,170,,Yes,No,No,No,No,No,No,No,No,None,3,350,14
Wildfish Cannery Smoked Sockeye Salmon,19,None,salmon,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,,170,,Yes,No,No,No,No,No,No,No,No,None,3,200,8
Wildfish Cannery Smoked White King Salmon,23,None,salmon,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,,170,,Yes,No,No,No,No,No,No,No,No,None,3,360,15
Yurrita Cantabrian Anchovy Fillets in Olive Oil,12,Olive OIl,anchovy,Spain,Yurrita,Yes,No,None,Yes,Yes,Unstated,50,,No,No,No,No,No,No,No,No,No,OU,2,900,38
Yurrita Cockles in Brine 25/35,26,Water,cockles,Spain,Yurrita,Yes,No,None,,,25/35,111,,No,No,No,No,No,No,No,No,No,None,1,380,17
Yurrita Mussels in Pickled Sauce (Mejillones en Escabeche) 8/12,13.5,Sunflower Oil,mussels,Spain,Yurrita,Yes,No,Escabeche,,,8/12,111,,No,No,No,No,No,No,No,No,No,None,2,272,6
Yurrita Sardines in Olive Oil,8.5,Olive OIl,sardines,Spain,Yurrita,Yes,No,None,No,No,Unstated,120,,No,No,No,No,No,No,No,No,No,None,2,211,9
Yurrita Sardinillas (Small Sardines) in Olive Oil 10/14,10.5,Olive Oil,sardines,Spain,Yurrita,Yes,No,None,No,No,10/14,115,,No,No,No,No,No,No,No,No,No,None,2,146,6
Yurrita Squid in Ink Sauce,15,Sunflower Oil,squid,Spain,Yurrita,Yes,No,Ink,,,Unstated,111,,No,No,No,No,No,No,No,No,No,None,2,158,7
Yurrita Squid in Olive Oil,18,Olive Oil,squid,Spain,Yurrita,Yes,No,None,,,,111,,No,No,No,No,No,No,No,No,No,None,2,173,7
Yurrita Ventresca of White Tuna,21,Olive Oil,tuna,Spain,Yurrita,Yes,No,None,,,Unstated,111,,No,No,No,No,No,No,No,No,No,None,1,144,6
Yurrita Ventresca of Yellowfin Tuna,17,Olive Oil,tuna,Spain,Yurrita,Yes,No,None,,,,111,,No,No,No,No,No,No,No,No,No,None,4,187,8
Yurrita White Tuna in Olive Oil,10,Olive Oil,tuna,Spain,Yurrita,Yes,No,None,,,Unstated,111,,No,No,No,No,No,No,No,No,No,None,4,144,6
"Yurrita White Tuna in Olive Oil with Piquillo Peppers, Glass Jar",18,Olive Oil,tuna,Spain,Yurrita,Yes,No,Piquillo Peppers,,,,225,,No,No,No,No,No,No,No,No,No,None,4,144,6
"Yurrita White Tuna in Olive Oil, Glass Jar",16.5,Olive Oil,tuna,Spain,Yurrita,Yes,No,None,,,Unstated,190,,No,No,No,No,No,No,No,No,No,None,4,128,5
Zallo Bonito del Norte (White Tuna) in Escabeche,16,Olive Oil,tuna,Spain,Zallo,Yes,No,Escabeche,,,,112,,No,No,No,No,No,No,No,No,No,None,1,200,8
Zallo Bonito del Norte (White Tuna) in Olive Oil,17.5,Olive Oil,tuna,Spain,Zallo,Yes,No,None,,,,112,,No,No,No,No,No,No,No,No,No,None,1,440,19
"Zallo Bonito del Norte (White Tuna) in Olive Oil, glass jar",21,Olive Oil,tuna,Spain,Zallo,Yes,No,None,,,,220,,No,No,No,No,No,No,No,No,No,None,2.5,220,9
Zallo Ventresca Bonito del Norte (White Tuna Belly) in Olive Oil,30,Olive Oil,tuna,Spain,Zallo,Yes,No,None,,,,112,,No,No,No,No,No,No,No,No,No,None,1.5,220,9
Zallo Yellowfin (Atun Claro) Ventresca in Olive Oil,24.5,Olive Oil,tuna,Spain,Zallo,Yes,No,None,,,,112,,No,No,No,No,No,No,No,No,No,None,1,360,16
