name,rtg,oil_water,fish_type,country,brand,salt,sugar,sauce,boneless,skinless,pieces,size_g,size_oz,smoked,grilled,citrus,garlic,chili_pepper,tomato,dairy,gluten,organic,kosher_cert,servings,sodium_per_serving,rda_sodium
Pearl River Bridge Fried Dace with Black Bean,6,Refined Soybean Oil,dace,China,Pearl River Bridge,Yes,Yes,"Black beans, soy sauce, spices",,,,180,6.3,No,No,Yes,No,No,No,No,Yes,No,None,3.5,570,25
Pepus Baby Sardines in Spicy Olive Oil,7.5,Olive Oil,sardines,Spain,Pepus,Yes,No,Spiced/Spicy,No,No,10/12,115,4.05,No,No,No,No,Yes,No,No,No,No,None,1,212,9
Pepus Stuffed Baby Squid in Ink,11.5,Sunflower Oil,squid,Spain,Pepus,Yes,No,Ink,,,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,None,1,310,13
Pepus White Tuna (Albacore) in Olive Oil,10.75,Olive Oil,tuna,Spain,Pepus,Yes,No,None,,,,111,4.0,No,No,No,No,No,No,No,No,No,None,1,280,12
Pepus Baby Sardines in Vegetable Oil 10/12,7.5,Vegetable Oil,sardines,Spain,Pepus,Yes,No,None,No,No,10/12,115,4.05,No,No,No,No,No,No,No,No,No,None,1,212,9
Pinhais Sardines in Olive Oil,9.5,Olive Oil,sardines,Portugal,Pinhais,Yes,No,None,No,No,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,None,1,500,22
Pinhais Sardines in Tomato Sauce,9.5,Olive Oil,sardines,Portugal,Pinhais,Yes,No,Tomato,No,No,Unstated,125,4.4,No,No,No,No,No,Yes,No,No,No,None,1,500,22
Pinhais Spiced Sardines in Olive Oil,9.5,Olive Oil,sardines,Portugal,Pinhais,Yes,No,"Chili pepper, cucumber, carrot",No,No,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,None,1,500,22
Pinhais Spiced Sardines in Tomato Sauce,9.5,Olive Oil,sardines,Portugal,Pinhais,Yes,No,"Tomato, bay laurel, cucumber, carrot, chili",No,No,Unstated,125,4.4,No,No,No,No,Yes,Yes,No,No,No,None,1,500,22
Pollastrini di Anzio Anchovy Fillets in Olive Oil,11,Olive Oil,anchovy,Italy,Pollastrini,Yes,No,None,No,No,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,2,620,36
Pollastrini di Anzio Millesimate (Vintage) 2020 Sardines in Olive Oil,11,Olive Oil,sardines,Italy,Pollastrini,Yes,No,None,No,No,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,2,260,11
Pollastrini di Anzio Millesimate (Vintage) 2020 Spiced Sardines in Olive Oil,11,Olive Oil,sardines,Italy,Pollastrini,Yes,No,Spiced/Spicy,No,No,Unstated,100,3.5,No,No,No,No,Yes,No,No,No,No,None,2,260,11
Pollastrini di Anzio Sardines in Olive Oil 4/6,7,Olive OIl,sardines,Italy,Pollastrini,Yes,No,None,No,No,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,2,260,11
Pollastrini di Anzio Sardines in Tomato Sauce with Hot Pepper 4/6,7,Olive OIl,sardines,Italy,Pollastrini,Yes,No,Tomato,No,No,Unstated,100,3.5,No,No,No,No,Yes,Yes,No,No,No,None,2,240,10
Pollastrini di Anzio Sardines with Tomato Sauce 4/6,7,Olive Oil,sardines,Italy,Pollastrini,Yes,No,Tomato,No,No,Unstated,100,3.5,No,No,No,No,No,Yes,No,No,No,None,2,240,10
Pollastrini di Anzio Spiced Sardines in Olive Oil 4/6,7.5,Olive Oil,sardines,Italy,Pollastrini,Yes,No,Spiced/Spicy,No,No,Unstated,100,3.5,No,No,No,No,Yes,No,No,No,No,None,2,260,11
Pollastrini di Anzio Spicy Anchovy Fillets in Olive Oil,11.5,Olive Oil,anchovy,Italy,Pollastrini,Yes,No,Red Pepper,No,No,Unstated,100,3.5,No,No,No,No,Yes,No,No,No,No,None,2,620,36
Porthos Smoked Tuna Fillets in Extra Virgin Olive Oil,14,Extra Virgin Olive Oil,tuna,Portugal,Porthos,Yes,No,None,Yes,Yes,,105,3.7,Yes,No,No,No,No,No,No,No,No,None,,,
Porthos Smoked Mackerel Fillets in Extra Virgin Olive Oill,11,Extra Virgin Olive Oil,mackerel,Portugal,Porthos,Yes,No,None,Yes,,,105,3.7,Yes,No,No,No,No,No,No,No,No,None,,,
Porthos Smoked Boneless Sardines in Extra Virgin Olive Oil,12.5,Extra Virgin Olive Oil,sardines,Portugal,Porthos,Yes,No,None,Yes,Yes,Unstated,105,3.7,Yes,No,No,No,No,No,No,No,No,None,,,
Porthos Smoked Trout in Extra Virgin Olive Oil,13.5,Extra Virgin Olive OIl,trout,Portugal,Porthos,Yes,No,None,Yes,,,105,3.7,Yes,No,No,No,No,No,No,No,No,None,,,
Porthos Smoked Salmon in Extra Virgin Olive Oil,13.5,Extra Virgin Olive Oil,salmon,Portugal,Porthos,Yes,No,None,Yes,,,105,3.7,Yes,No,No,No,No,No,No,No,No,None,,,
Porthos Sardines in Hot Tomato Sauce 3/5,7,Sunflower Oil,sardines,Portugal,Porthos,Yes,No,Tomato,No,No,3/5,125,4.4,No,No,No,No,Yes,Yes,No,No,No,None,1,280,12
Porthos Sardines in Hot Vegetable Oil 3/5,7,Sunflower Oil,sardines,Portugal,Porthos,Yes,No,Spiced/Spicy,No,No,3/5,125,4.4,No,No,No,No,Yes,No,No,No,No,None,1,340,14
Porthos Sardines in Olive Oil 3/5,7,Olive Oil,sardines,Portugal,Porthos,Yes,No,None,No,No,3/5,125,4.4,No,No,No,No,No,No,No,No,No,None,1,340,15
Porthos Sardines in Teriyaki Sauce 3/5,7,None,sardines,Portugal,Porthos,Yes,Yes,Teriyaki,No,No,3/5,125,4.4,No,No,No,No,No,No,No,Yes,No,None,1,730,30
Porthos Sardines in Tomato Sauce 3/5,7,Sunflower Oil,sardines,Portugal,Porthos,Yes,No,Tomato,No,No,3/5,125,4.4,No,No,No,No,No,Yes,No,No,No,None,1,280,12
Porthos Spiced Sardines in Olive Oil 3/5,7,Olive Oil,sardines,Portugal,Porthos,Yes,No,"Spiced/Spicy, Chili Pepper, Cucumber, Carrot",No,No,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,None,1,340,15
